image,valid_px,real_px,discarded_px,discard_pct_of_real
2779,1047444,479053,15365,3.21
2780,1048576,1003528,0,0.0
2781,1048576,362572,635,0.18
2782,1048576,692505,677336,97.81
2783,901498,896036,439,0.05
2784,1048576,865683,7075,0.82
2785,1048576,574560,563514,98.08
2786,1048576,585386,555,0.09
2787,1048576,83989,83989,100.0
2788,1048576,488468,20454,4.19
2789,1048576,155107,54,0.03
2790,1048576,584563,728,0.12
2791,1048576,899778,899651,99.99
2792,1048576,188686,247,0.13
2793,1048576,140154,101897,72.7
2794,1048576,1048576,1048576,100.0
2795,1048576,1044533,191,0.02
2796,1048576,423056,21492,5.08
2797,1048576,229757,0,0.0
2798,1048576,270650,70,0.03
2799,1048576,627043,236,0.04
2800,1048576,1013940,0,0.0
2801,1048576,933755,116,0.01
2802,1048576,958229,0,0.0
2803,1048576,621024,601055,96.78
2804,1048576,445520,36,0.01
2805,1048576,255873,6953,2.72
2806,1048576,276947,248454,89.71
2807,1048576,612022,742,0.12
2808,1048576,435409,1259,0.29
2809,604777,372913,21760,5.84
2810,1048576,169303,169274,99.98
2811,1047878,459280,119,0.03
2812,1048576,1036538,0,0.0
2813,1048576,605071,247,0.04
2814,1048576,379816,0,0.0
2815,1048576,362629,19,0.01
2816,1048576,716579,121480,16.95
2817,1048576,462611,462611,100.0
2818,1048576,499669,481985,96.46
2819,1048576,1022409,0,0.0
2820,1048576,1038568,1071,0.1
2821,1048576,825567,51127,6.19
2822,1048576,915572,16655,1.82
2823,1048576,167635,22,0.01
2824,1048576,261440,874,0.33
2825,1048576,608478,70925,11.66
2826,1048576,904423,875118,96.76
2827,1048576,567947,307,0.05
2828,1048576,427224,4161,0.97
2829,1048576,842770,0,0.0
2830,1048576,423284,28,0.01
2831,1048576,1016573,0,0.0
2832,1048576,0,0,0.0
2833,1048576,792448,1041,0.13
2834,1048576,358054,187,0.05
2835,1048576,694718,239646,34.5
2836,576335,576335,0,0.0
2837,1048576,1031562,0,0.0
2838,961729,875663,0,0.0
2839,1048576,902508,4909,0.54
2840,638506,553998,4957,0.89
2841,1048576,336746,9,0.0
2842,1048576,37008,169,0.46
2843,1048576,236945,26720,11.28
2844,1048576,873279,3329,0.38
2845,548551,488507,0,0.0
2846,1048576,388817,0,0.0
2847,1048576,271386,102,0.04
2848,1048576,694622,71,0.01
2849,1048576,478154,229,0.05
2850,1048576,873657,16210,1.86
2851,1048576,309021,128384,41.55
2852,1048576,441349,80,0.02
2853,1048576,1044726,57,0.01
2854,1048576,507312,108845,21.46
2855,1048576,464777,4,0.0
2856,1048576,130265,39665,30.45
2857,1048576,609776,609692,99.99
2858,961872,949810,0,0.0
2859,1048576,688287,679898,98.78
2860,1048576,250849,201,0.08
2861,1048576,456166,77,0.02
2862,1048576,661715,743,0.11
2863,1048576,1047732,0,0.0
2864,1048576,506240,8069,1.59
2865,1048576,330439,11043,3.34
2866,1048508,173167,10,0.01
2867,1048576,882555,720,0.08
2868,1048576,998585,0,0.0
2869,1048576,362639,6113,1.69
2870,486705,414480,13,0.0
2871,1048576,832385,604610,72.64
2872,1048576,451567,0,0.0
2873,1048576,913936,4260,0.47
2874,577960,577283,13,0.0
2875,1048576,646049,620761,96.09
2876,1048576,956995,525,0.05
2877,1048576,958511,958406,99.99
2878,1048576,720771,1651,0.23
2879,1048576,124286,2446,1.97
2880,1048576,828491,0,0.0
2881,1048576,1031763,0,0.0
2882,1048576,949534,112,0.01
2883,1048576,268812,53,0.02
2884,1048576,640176,0,0.0
2885,1048576,979196,175,0.02
2886,1048576,938029,2192,0.23
2887,1048576,310457,97,0.03
2888,1048576,69757,66485,95.31
2889,1048576,442164,3202,0.72
2890,1048576,50278,50278,100.0
2891,667910,587403,15110,2.57
2892,693845,354954,20987,5.91
2893,1048576,249443,33714,13.52
2894,1048576,334063,8970,2.69
2895,1048576,105827,105827,100.0
2896,1048576,387584,89731,23.15
2897,1048576,501649,0,0.0
2898,1048512,426635,194251,45.53
2899,1048576,84069,0,0.0
2900,1048576,960057,0,0.0
2901,1048576,865615,865615,100.0
2902,1048576,468312,42,0.01
2903,958246,764415,1,0.0
2904,1048576,625857,625857,100.0
2905,1048576,211791,4,0.0
2906,1048576,366715,23512,6.41
2907,1048576,211668,2,0.0
2908,1048576,18753,6987,37.26
2909,1048576,965481,0,0.0
2910,1048576,1048576,0,0.0
2911,1048576,1020694,15,0.0
2912,1048576,296728,296728,100.0
2913,1048576,281974,163,0.06
